iter	Passed	Remaining
1109	3443	306808
1110	3447	306815
1111	3450	306809
1112	3452	306789
1113	3456	306799
1114	3459	306836
1115	3463	306871
1116	3466	306893
1117	3469	306879
1118	3472	306850
1119	3475	306861
1120	3478	306852
1121	3481	306836
1122	3485	306847
1123	3488	306850
1124	3491	306826
1125	3494	306815
1126	3496	306781
1127	3499	306745
1128	3502	306730
1129	3505	306724
1130	3508	306695
1131	3511	306688
1132	3514	306652
1133	3517	306635
1134	3520	306639
1135	3523	306612
1136	3525	306572
1137	3528	306552
1138	3531	306529
1139	3534	306519
1140	3537	306507
1141	3540	306500
1142	3543	306480
1143	3546	306472
1144	3549	306488
1145	3552	306463
1146	3555	306422
1147	3558	306414
1148	3561	306389
1149	3564	306376
1150	3567	306359
1151	3570	306353
1152	3573	306332
1153	3575	306294
1154	3579	306295
1155	3581	306264
1156	3584	306226
1157	3587	306184
1158	3589	306144
1159	3592	306104
1160	3595	306125
1161	3599	306132
1162	3602	306131
1163	3605	306115
1164	3608	306099
1165	3616	306531
1166	3619	306513
1167	3622	306505
1168	3625	306487
1169	3628	306497
1170	3631	306461
1171	3634	306446
1172	3637	306440
1173	3640	306425
1174	3643	306427
1175	3646	306425
1176	3649	306430
1177	3652	306417
1178	3656	306465
1179	3659	306445
1180	3662	306470
1181	3665	306457
1182	3668	306443
1183	3671	306430
1184	3674	306438
1185	3677	306420
1186	3680	306410
1187	3683	306411
1188	3686	306378
1189	3689	306352
1190	3692	306358
1191	3695	306338
1192	3698	306318
1193	3701	306328
1194	3704	306317
1195	3707	306302
1196	3710	306301
1197	3713	306298
1198	3717	306296
1199	3720	306286
1200	3723	306283
1201	3726	306282
1202	3729	306276
1203	3733	306363
1204	3736	306376
1205	3740	306380
1206	3742	306360
1207	3745	306336
1208	3748	306316
1209	3751	306311
1210	3754	306282
1211	3757	306275
1212	3760	306275
1213	3763	306259
1214	3766	306231
1215	3769	306202
1216	3772	306182
1217	3775	306190
1218	3778	306191
1219	3781	306196
1220	3784	306191
1221	3788	306209
1222	3791	306221
1223	3794	306209
1224	3797	306216
1225	3800	306189
1226	3803	306171
1227	3806	306185
1228	3809	306170
1229	3812	306139
1230	3815	306113
1231	3817	306072
1232	3820	306065
1233	3824	306074
1234	3826	306037
1235	3829	306005
1236	3832	305970
1237	3835	305961
1238	3838	305957
1239	3841	305941
1240	3844	305933
1241	3847	305938
1242	3850	305929
1243	3853	305937
1244	3856	305911
1245	3859	305876
1246	3862	305846
1247	3865	305842
1248	3868	305872
1249	3872	305896
1250	3875	305883
1251	3877	305856
1252	3880	305789
1253	3883	305766
1254	3885	305755
1255	3888	305727
1256	3891	305694
1257	3894	305675
1258	3897	305641
1259	3899	305602
1260	3902	305588
1261	3905	305559
1262	3908	305539
1263	3911	305511
1264	3913	305479
1265	3916	305446
1266	3919	305420
1267	3922	305410
1268	3925	305392
1269	3928	305415
1270	3932	305447
1271	3935	305467
1272	3938	305482
1273	3942	305504
1274	3945	305512
1275	3948	305517
1276	3952	305543
1277	3955	305531
1278	3958	305508
1279	3961	305500
1280	3963	305479
1281	3966	305463
1282	3969	305443
1283	3973	305486
1284	3976	305494
1285	3980	305508
1286	3982	305493
1287	3985	305475
1288	3989	305482
1289	3992	305477
1290	3994	305441
1291	3997	305417
1292	4000	305398
1293	4004	305433
1294	4007	305456
1295	4010	305440
1296	4013	305441
1297	4016	305427
1298	4019	305409
1299	4022	305410
1300	4025	305382
1301	4028	305373
1302	4031	305383
1303	4034	305389
1304	4037	305365
1305	4040	305355
1306	4043	305325
1307	4046	305300
1308	4049	305290
1309	4052	305264
1310	4054	305242
1311	4057	305239
1312	4060	305215
1313	4063	305202
1314	4066	305183
1315	4069	305192
1316	4072	305172
1317	4075	305137
1318	4078	305124
1319	4081	305136
1320	4084	305123
1321	4087	305103
1322	4090	305114
1323	4093	305108
1324	4097	305121
1325	4100	305146
1326	4104	305173
1327	4107	305184
1328	4110	305173
1329	4113	305180
1330	4116	305163
1331	4119	305145
1332	4122	305153
1333	4126	305176
1334	4129	305192
1335	4132	305161
1336	4135	305147
1337	4138	305139
1338	4141	305168
1339	4144	305174
1340	4147	305166
1341	4151	305182
1342	4154	305202
1343	4157	305198
1344	4160	305200
1345	4163	305196
1346	4167	305193
1347	4170	305178
1348	4173	305178
1349	4176	305165
1350	4179	305150
1351	4182	305138
1352	4185	305159
1353	4188	305136
1354	4191	305134
1355	4194	305114
1356	4196	305085
1357	4200	305099
1358	4202	305066
1359	4205	305043
1360	4208	305036
1361	4211	305007
1362	4214	304981
1363	4217	304981
1364	4220	304964
1365	4223	304941
1366	4226	304924
1367	4228	304895
1368	4231	304885
1369	4234	304882
1370	4237	304870
1371	4240	304869
1372	4243	304846
1373	4246	304839
1374	4249	304815
1375	4252	304797
1376	4255	304773
1377	4258	304747
1378	4260	304719
1379	4263	304693
1380	4266	304678
1381	4269	304656
1382	4272	304635
1383	4275	304619
1384	4278	304639
1385	4282	304670
1386	4285	304658
1387	4287	304635
1388	4290	304624
1389	4294	304637
1390	4296	304617
1391	4299	304593
1392	4302	304575
1393	4306	304591
1394	4308	304574
1395	4311	304540
1396	4314	304519
1397	4317	304490
1398	4320	304472
1399	4322	304457
1400	4326	304460
1401	4329	304452
1402	4332	304435
1403	4334	304420
1404	4337	304414
1405	4341	304417
1406	4344	304413
1407	4347	304417
1408	4350	304398
1409	4353	304401
1410	4356	304382
1411	4359	304367
1412	4362	304344
1413	4364	304310
1414	4367	304281
1415	4370	304268
1416	4373	304245
1417	4375	304221
1418	4378	304192
1419	4381	304167
1420	4384	304147
1421	4387	304129
1422	4389	304099
1423	4392	304079
